
non-current asset
Fixed Asset,,455106.1900000002
Current Asssets
Cash and bank,4674486.92
Accounts recievable,66100.5
Stock,0
 ,,4740587.42
TOTAL assets,,5195693.61
EQUITY AND LIABILITY
Equity
registerd capital,2000000.0

Accumlated profit(loss),1762301.4100000001

Legal reserve,0.0

total equity,,3762301.41
Non-current liability
loan,,0
Current liabilities
Trade and other payables,1110761.85

Profit tax payable,299845.67
 ,,1410607.52
TOTAL equity and liability,,5172908.93
